filename,scan_type,n_rays,n_sentinel_az,n_sentinel_el,n_sentinel_any,all_sentinel,short_file,log_az_offset,n_az_disagree,n_el_disagree,log_el_at_sentinel,flags
ncas-mobile-ka-band-radar-1_cao_20240307-001413_ppi_l1_v1.0.1.nc,ppi,2444,0,2444,2444,True,False,nan,0,0,82.0,"sentinel_el (2444/2444 rays, 100%); all_sentinel"
ncas-mobile-ka-band-radar-1_cao_20240307-004413_ppi_l1_v1.0.1.nc,ppi,2446,0,2446,2446,True,False,nan,0,0,82.0,"sentinel_el (2446/2446 rays, 100%); all_sentinel"
ncas-mobile-ka-band-radar-1_cao_20240307-011413_ppi_l1_v1.0.1.nc,ppi,239,0,239,239,True,False,nan,0,0,82.0,"sentinel_el (239/239 rays, 100%); all_sentinel"
ncas-mobile-ka-band-radar-1_cao_20240307-011419_ppi_l1_v1.0.1.nc,ppi,2206,0,2206,2206,True,False,nan,0,0,82.0,"sentinel_el (2206/2206 rays, 100%); all_sentinel"
ncas-mobile-ka-band-radar-1_cao_20240307-014413_ppi_l1_v1.0.1.nc,ppi,2446,0,2446,2446,True,False,nan,0,0,82.0,"sentinel_el (2446/2446 rays, 100%); all_sentinel"
ncas-mobile-ka-band-radar-1_cao_20240307-021414_ppi_l1_v1.0.1.nc,ppi,2446,0,2446,2446,True,False,nan,0,0,82.0,"sentinel_el (2446/2446 rays, 100%); all_sentinel"
ncas-mobile-ka-band-radar-1_cao_20240307-024413_ppi_l1_v1.0.1.nc,ppi,2447,0,2447,2447,True,False,nan,0,0,82.0,"sentinel_el (2447/2447 rays, 100%); all_sentinel"
ncas-mobile-ka-band-radar-1_cao_20240307-031413_ppi_l1_v1.0.1.nc,ppi,2446,0,2446,2446,True,False,nan,0,0,82.0,"sentinel_el (2446/2446 rays, 100%); all_sentinel"
ncas-mobile-ka-band-radar-1_cao_20240307-034413_ppi_l1_v1.0.1.nc,ppi,2447,0,2447,2447,True,False,nan,0,0,82.0,"sentinel_el (2447/2447 rays, 100%); all_sentinel"
ncas-mobile-ka-band-radar-1_cao_20240307-041414_ppi_l1_v1.0.1.nc,ppi,2445,0,2445,2445,True,False,nan,0,0,82.0,"sentinel_el (2445/2445 rays, 100%); all_sentinel"
