filename,lon_min,lon_max,lat_min,lat_max,source
ncas-mobile-ka-band-radar-1_cao_20240203-132534_ppi_l1_v1.0.1.nc,-1.770000,-1.110000,50.940000,51.350000,geospatial_bounds
ncas-mobile-ka-band-radar-1_cao_20240203-133615_ppi_l1_v1.0.1.nc,-1.770000,-1.110000,50.940000,51.350000,geospatial_bounds
ncas-mobile-ka-band-radar-1_cao_20240203-134655_ppi_l1_v1.0.1.nc,-1.770000,-1.210000,50.940000,51.350000,geospatial_bounds
ncas-mobile-ka-band-radar-1_cao_20240203-140913_ppi_l1_v1.0.1.nc,-1.770000,-1.230000,50.940000,51.350000,geospatial_bounds
ncas-mobile-ka-band-radar-1_cao_20240203-141953_ppi_l1_v1.0.1.nc,-1.770000,-1.440000,50.940000,51.350000,geospatial_bounds
ncas-mobile-ka-band-radar-1_cao_20240203-142533_ppi_l1_v1.0.1.nc,-1.440000,-1.280000,51.150000,51.350000,geospatial_bounds
ncas-mobile-ka-band-radar-1_cao_20240203-143033_ppi_l1_v1.0.1.nc,-1.770000,-1.440000,50.940000,51.220000,geospatial_bounds
ncas-mobile-ka-band-radar-1_cao_20240203-143403_ppi_l1_v1.0.1.nc,-1.730000,-1.440000,51.150000,51.350000,geospatial_bounds
ncas-mobile-ka-band-radar-1_cao_20240203-144608_ppi_l1_v1.0.1.nc,-1.770000,-1.440000,50.940000,51.270000,geospatial_bounds
ncas-mobile-ka-band-radar-1_cao_20240203-145015_ppi_l1_v1.0.1.nc,-1.560000,-1.440000,50.940000,51.140000,geospatial_bounds
ncas-mobile-ka-band-radar-1_cao_20240203-145044_ppi_l1_v1.0.1.nc,-1.770000,-1.440000,50.960000,51.180000,geospatial_bounds
ncas-mobile-ka-band-radar-1_cao_20240203-145324_ppi_l1_v1.0.1.nc,-1.750000,-1.440000,51.150000,51.270000,geospatial_bounds
ncas-mobile-ka-band-radar-1_cao_20240203-145433_ppi_l1_v1.0.1.nc,-1.770000,-1.440000,50.950000,51.240000,geospatial_bounds
ncas-mobile-ka-band-radar-1_cao_20240203-145801_ppi_l1_v1.0.1.nc,-1.720000,-1.440000,51.150000,51.270000,geospatial_bounds
ncas-mobile-ka-band-radar-1_cao_20240203-150912_ppi_l1_v1.0.1.nc,-1.770000,-1.440000,50.940000,51.140000,geospatial_bounds
ncas-mobile-ka-band-radar-1_cao_20240203-151141_ppi_l1_v1.0.1.nc,-1.770000,-1.440000,51.130000,51.270000,geospatial_bounds
ncas-mobile-ka-band-radar-1_cao_20240203-151318_ppi_l1_v1.0.1.nc,-1.650000,-1.440000,50.940000,51.140000,geospatial_bounds
ncas-mobile-ka-band-radar-1_cao_20240203-151428_ppi_l1_v1.0.1.nc,-1.770000,-1.440000,51.000000,51.270000,geospatial_bounds
ncas-mobile-ka-band-radar-1_cao_20240203-151724_ppi_l1_v1.0.1.nc,-1.770000,-1.440000,50.940000,51.270000,geospatial_bounds
DAY_UNION (20240203),-1.770000,-1.110000,50.940000,51.350000,union
